channel_id,channel_name,video_id
UCfpaSruWW3S4dibonKXENjA,Tzuyang,oloeGY3oAVg
UCfpaSruWW3S4dibonKXENjA,Tzuyang,cgVRNBLTHaM
UCfpaSruWW3S4dibonKXENjA,Tzuyang,-D43ezc57z8
UCfpaSruWW3S4dibonKXENjA,Tzuyang,90NJAyFx09A
UCfpaSruWW3S4dibonKXENjA,Tzuyang,-gMCn9VDJns
UCfpaSruWW3S4dibonKXENjA,Tzuyang,KDVJBtFEhw8
UCfpaSruWW3S4dibonKXENjA,Tzuyang,pySDhYAsZa8
UCfpaSruWW3S4dibonKXENjA,Tzuyang,ixi_hfZlEWE
UCfpaSruWW3S4dibonKXENjA,Tzuyang,av8T6X8hxhk
UCfpaSruWW3S4dibonKXENjA,Tzuyang,aG_xeTicF0k
UCfpaSruWW3S4dibonKXENjA,Tzuyang,2if2TjgSVEY
UCfpaSruWW3S4dibonKXENjA,Tzuyang,9eJHNTya2pQ
UCfpaSruWW3S4dibonKXENjA,Tzuyang,Uz6Bltn0xIY
UCfpaSruWW3S4dibonKXENjA,Tzuyang,INCehN6gz90
UCfpaSruWW3S4dibonKXENjA,Tzuyang,kdM07dwCseo
UCfpaSruWW3S4dibonKXENjA,Tzuyang,kdQT6LZZ_3s
UCfpaSruWW3S4dibonKXENjA,Tzuyang,vgTtFdb3LjE
UCfpaSruWW3S4dibonKXENjA,Tzuyang,SbjywgoDGF4
